,id_card
1367,162152
1368,978474
1369,1255625
1370,503743
1371,56124
1372,1404036
1373,1396156
1374,341527
1375,1422328
1376,609584
1377,1634014
1378,671889
1379,90449
1380,1348628
1381,282068
1382,951148
1383,759667
1384,458931
1385,810384
1386,1062095
1387,1228009
1388,908863
1389,1411014
1390,1152277
1391,1001743
1392,1538600
1393,918667
1394,623182
1395,979373
1396,1329339
1397,1064432
1398,95782
1399,982649
1400,867017
1401,322155
1402,1647306
1403,135349
1404,134405
1405,974936
1406,817091
1407,445245
1408,422021
1409,638391
1410,100974
1411,295189
1412,1761829
1413,1076154
1414,1765442
1415,298686
1416,141687
1417,1416649
1418,169848
1419,546420
1420,674695
1421,128683
1422,1067482
1423,397194
1424,1470008
1425,802104
1426,276297
1427,190648
1428,197392
1429,351372
1430,1805958
1431,1698174
1432,833029
1433,1707450
1434,1193671
1435,326031
1436,422148
1437,1087932
1438,552606
1439,367915
1440,886825
1441,1151961
1442,1461699
1443,1625671
1444,1117370
1445,1800596
1446,175940
1447,1370292
1448,1700980
1449,8066
1450,1529010
1451,1349961
1452,582705
1453,1246127
1454,3703
1455,745579
1456,327936
1457,93417
1458,1625732
1459,1422739
1460,545754
1461,1422293
1462,418982
1463,347826
1464,1458549
1465,1562964
1466,430915
1467,872187
1468,1577387
1469,1406023
1470,978241
1471,890715
1472,1422188
1473,276407
1474,1557446
1475,1358023
1476,1780134
1477,1704740
1478,1152050
1479,312080
1480,690398
1481,890317
1482,1159917
1483,806657
1484,362747
1485,1457289
1486,1019191
1487,1617105
1488,281233
1489,106365
1490,402014
1491,1509522
1492,978216
1493,1647033
1494,263833
1495,1146997
1496,1172176
1497,564034
1498,95989
1499,842715
1500,1443885
1501,60429
1502,697659
1503,978630
1504,1525988
1505,1625772
1506,356024
1507,457096
1508,1825248
1509,1234292
1510,775349
1511,1200007
1512,921091
1513,1572402
1514,71418
1515,890357
1516,421944
1517,1337342
1518,975968
1519,1447072
1520,1576412
1521,905976
1522,1237563
1523,839574
1524,1018121
1525,893184
1526,843302
1527,760547
1528,1166885
1529,1422190
1530,1286701
1531,99390
1532,1861644
1533,1396748
1534,288816
1535,921251
1536,1297702
1537,943600
1538,237353
1539,1076788
1540,554375
1541,1358256
1542,7314
1543,146435
1544,1156733
1545,1816233
1546,518017
1547,1735274
1548,978183
1549,1372964
1550,241530
1551,1113436
1552,890456
1553,1422811
1554,1370882
1555,123650
1556,978919
1557,1804351
1558,444407
1559,1258040
1560,1249206
1561,649770
1562,358082
1563,1212826
1564,1710786
1565,528385
1566,493157
1567,589226
1568,745064
1569,251633
1570,293818
1571,1615819
1572,782187
1573,1422817
1574,1113674
1575,477958
1576,1730375
1577,1115784
1578,677585
1579,481304
1580,320936
1581,978609
1582,1553043
1583,1839190
1584,978601
1585,228089
1586,1119197
1587,1692233
1588,711353
1589,6503
1590,1444027
1591,1575644
1592,218
1593,818136
1594,1102902
1595,1763883
1596,732231
1597,1797481
1598,1080730
1599,1705593
1600,1609047
1601,393
1602,392400
1603,639432
1604,1147917
1605,444846
1606,698449
1607,1447852
1608,1250634
1609,310162
1610,890397
1611,457282
1612,576631
1613,498371
1614,1679367
1615,1736862
1616,1191233
1617,410863
1618,1422246
1619,397185
1620,978165
1621,1293662
1622,1634076
1623,1604157
1624,245802
1625,1138317
1626,1495980
1627,1152411
1628,1417214
1629,1064786
1630,1225655
1631,978569
1632,633094
1633,1196214
1634,1706846
1635,103759
1636,1152019
1637,287
1638,310235
1639,537070
1640,1422311
1641,81
1642,470676
1643,235
1644,199865
1645,186232
1646,1256472
1647,722146
1648,813042
1649,218849
1650,397172
1651,1152102
1652,1704130
1653,1855594
1654,913381
1655,1686519
1656,328680
1657,623694
1658,460751
1659,182987
1660,1633927
1661,1625634
1662,522398
1663,1152329
1664,1152007
1665,1756220
1666,909528
1667,782194
1668,524195
1669,590658
1670,447952
1671,1229818
1672,978230
1673,1579955
1674,663992
1675,243009
1676,978290
1677,318300
1678,978350
1679,197337
1680,1510019
1681,978112
1682,850565
1683,978126
1684,310129
1685,1422287
1686,1422850
1687,808281
